<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_SOC_PART_NUMBER_IMX_RT,soc/arm,string,soc/arm/nxp_imx/rt/Kconfig.soc:612,"""MIMXRT1011CAE4A"" if SOC_PART_NUMBER_MIMXRT1011CAE4A | ""MIMXRT1011DAE5A"" if SOC_PART_NUMBER_MIMXRT1011DAE5A | ""MIMXRT1015CAF4A"" if SOC_PART_NUMBER_MIMXRT1015CAF4A | ""MIMXRT1015DAF5A"" if SOC_PART_NUMBER_MIMXRT1015DAF5A | ""MIMXRT1021CAF4A"" if SOC_PART_NUMBER_MIMXRT1021CAF4A | ""MIMXRT1021CAG4A"" if SOC_PART_NUMBER_MIMXRT1021CAG4A | ""MIMXRT1021DAF5A"" if SOC_PART_NUMBER_MIMXRT1021DAF5A | ""MIMXRT1021DAG5A"" if SOC_PART_NUMBER_MIMXRT1021DAG5A | ""MIMXRT1024CAG4A"" if SOC_PART_NUMBER_MIMXRT1024CAG4A | ""MIMXRT1024DAG5A"" if SOC_PART_NUMBER_MIMXRT1024DAG5A | ""MIMXRT1041DFP6B"" if SOC_PART_NUMBER_MIMXRT1041DFP6B | ""MIMXRT1041DJM6B"" if SOC_PART_NUMBER_MIMXRT1041DJM6B | ""MIMXRT1041XFP5B"" if SOC_PART_NUMBER_MIMXRT1041XFP5B | ""MIMXRT1041XJM5B"" if SOC_PART_NUMBER_MIMXRT1041XJM5B | ""MIMXRT1042DFP6B"" if SOC_PART_NUMBER_MIMXRT1042DFP6B | ""MIMXRT1042DJM6B"" if SOC_PART_NUMBER_MIMXRT1042DJM6B | ""MIMXRT1042XFP5B"" if SOC_PART_NUMBER_MIMXRT1042XFP5B | ""MIMXRT1042XJM5B"" if SOC_PART_NUMBER_MIMXRT1042XJM5B | ""MIMXRT1051CVL5A"" if SOC_PART_NUMBER_MIMXRT1051CVL5A | ""MIMXRT1051DVL6A"" if SOC_PART_NUMBER_MIMXRT1051DVL6A | ""MIMXRT1052CVJ5B"" if SOC_PART_NUMBER_MIMXRT1052CVJ5B | ""MIMXRT1052CVL5A"" if SOC_PART_NUMBER_MIMXRT1052CVL5A | ""MIMXRT1052CVL5B"" if SOC_PART_NUMBER_MIMXRT1052CVL5B | ""MIMXRT1052DVJ6B"" if SOC_PART_NUMBER_MIMXRT1052DVJ6B | ""MIMXRT1052DVL6A"" if SOC_PART_NUMBER_MIMXRT1052DVL6A | ""MIMXRT1052DVL6B"" if SOC_PART_NUMBER_MIMXRT1052DVL6B | ""MIMXRT1061CVL5A"" if SOC_PART_NUMBER_MIMXRT1061CVL5A | ""MIMXRT1061DVL6A"" if SOC_PART_NUMBER_MIMXRT1061DVL6A | ""MIMXRT1062CVJ5A"" if SOC_PART_NUMBER_MIMXRT1062CVJ5A | ""MIMXRT1062CVJ5B"" if SOC_PART_NUMBER_MIMXRT1062CVJ5B | ""MIMXRT1062CVL5A"" if SOC_PART_NUMBER_MIMXRT1062CVL5A | ""MIMXRT1062DVJ6A"" if SOC_PART_NUMBER_MIMXRT1062DVJ6A | ""MIMXRT1062DVL6A"" if SOC_PART_NUMBER_MIMXRT1062DVL6A | ""MIMXRT1064CVL5A"" if SOC_PART_NUMBER_MIMXRT1064CVL5A | ""MIMXRT1064DVL6A"" if SOC_PART_NUMBER_MIMXRT1064DVL6A | ""MIMXRT1176AVM8A"" if SOC_PART_NUMBER_MIMXRT1176AVM8A | ""MIMXRT1176CVM8A"" if SOC_PART_NUMBER_MIMXRT1176CVM8A | ""MIMXRT1176DVMAA"" if SOC_PART_NUMBER_MIMXRT1176DVMAA | ""MIMXRT1166DVM6A"" if SOC_PART_NUMBER_MIMXRT1166DVM6A | ""MIMXRT1175AVM8A"" if SOC_PART_NUMBER_MIMXRT1175AVM8A | ""MIMXRT1175CVM8A"" if SOC_PART_NUMBER_MIMXRT1175CVM8A | ""MIMXRT1175DVMAA"" if SOC_PART_NUMBER_MIMXRT1175DVMAA | ""MIMXRT1173CVM8A"" if SOC_PART_NUMBER_MIMXRT1173CVM8A | ""MIMXRT1172AVM8A"" if SOC_PART_NUMBER_MIMXRT1172AVM8A | ""MIMXRT1172CVM8A"" if SOC_PART_NUMBER_MIMXRT1172CVM8A | ""MIMXRT1172DVMAA"" if SOC_PART_NUMBER_MIMXRT1172DVMAA | ""MIMXRT1171AVM8A"" if SOC_PART_NUMBER_MIMXRT1171AVM8A | ""MIMXRT1171CVM8A"" if SOC_PART_NUMBER_MIMXRT1171CVM8A | ""MIMXRT1171DVMAA"" if SOC_PART_NUMBER_MIMXRT1171DVMAA","""MIMXRT1011CAE4A"" if SOC_PART_NUMBER_MIMXRT1011CAE4A | ""MIMXRT1011DAE5A"" if SOC_PART_NUMBER_MIMXRT1011DAE5A | ""MIMXRT1015CAF4A"" if SOC_PART_NUMBER_MIMXRT1015CAF4A | ""MIMXRT1015DAF5A"" if SOC_PART_NUMBER_MIMXRT1015DAF5A | ""MIMXRT1021CAF4A"" if SOC_PART_NUMBER_MIMXRT1021CAF4A | ""MIMXRT1021CAG4A"" if SOC_PART_NUMBER_MIMXRT1021CAG4A | ""MIMXRT1021DAF5A"" if SOC_PART_NUMBER_MIMXRT1021DAF5A | ""MIMXRT1021DAG5A"" if SOC_PART_NUMBER_MIMXRT1021DAG5A | ""MIMXRT1024CAG4A"" if SOC_PART_NUMBER_MIMXRT1024CAG4A | ""MIMXRT1024DAG5A"" if SOC_PART_NUMBER_MIMXRT1024DAG5A | ""MIMXRT1041DFP6B"" if SOC_PART_NUMBER_MIMXRT1041DFP6B | ""MIMXRT1041DJM6B"" if SOC_PART_NUMBER_MIMXRT1041DJM6B | ""MIMXRT1041XFP5B"" if SOC_PART_NUMBER_MIMXRT1041XFP5B | ""MIMXRT1041XJM5B"" if SOC_PART_NUMBER_MIMXRT1041XJM5B | ""MIMXRT1042DFP6B"" if SOC_PART_NUMBER_MIMXRT1042DFP6B | ""MIMXRT1042DJM6B"" if SOC_PART_NUMBER_MIMXRT1042DJM6B | ""MIMXRT1042XFP5B"" if SOC_PART_NUMBER_MIMXRT1042XFP5B | ""MIMXRT1042XJM5B"" if SOC_PART_NUMBER_MIMXRT1042XJM5B | ""MIMXRT1051CVL5A"" if SOC_PART_NUMBER_MIMXRT1051CVL5A | ""MIMXRT1051DVL6A"" if SOC_PART_NUMBER_MIMXRT1051DVL6A | ""MIMXRT1052CVJ5B"" if SOC_PART_NUMBER_MIMXRT1052CVJ5B | ""MIMXRT1052CVL5A"" if SOC_PART_NUMBER_MIMXRT1052CVL5A | ""MIMXRT1052CVL5B"" if SOC_PART_NUMBER_MIMXRT1052CVL5B | ""MIMXRT1052DVJ6B"" if SOC_PART_NUMBER_MIMXRT1052DVJ6B | ""MIMXRT1052DVL6A"" if SOC_PART_NUMBER_MIMXRT1052DVL6A | ""MIMXRT1052DVL6B"" if SOC_PART_NUMBER_MIMXRT1052DVL6B | ""MIMXRT1061CVL5A"" if SOC_PART_NUMBER_MIMXRT1061CVL5A | ""MIMXRT1061DVL6A"" if SOC_PART_NUMBER_MIMXRT1061DVL6A | ""MIMXRT1062CVJ5A"" if SOC_PART_NUMBER_MIMXRT1062CVJ5A | ""MIMXRT1062CVJ5B"" if SOC_PART_NUMBER_MIMXRT1062CVJ5B | ""MIMXRT1062CVL5A"" if SOC_PART_NUMBER_MIMXRT1062CVL5A | ""MIMXRT1062DVJ6A"" if SOC_PART_NUMBER_MIMXRT1062DVJ6A | ""MIMXRT1062DVL6A"" if SOC_PART_NUMBER_MIMXRT1062DVL6A | ""MIMXRT1064CVL5A"" if SOC_PART_NUMBER_MIMXRT1064CVL5A | ""MIMXRT1064DVL6A"" if SOC_PART_NUMBER_MIMXRT1064DVL6A | ""MIMXRT1176AVM8A"" if SOC_PART_NUMBER_MIMXRT1176AVM8A | ""MIMXRT1176CVM8A"" if SOC_PART_NUMBER_MIMXRT1176CVM8A | ""MIMXRT1176DVMAA"" if SOC_PART_NUMBER_MIMXRT1176DVMAA | ""MIMXRT1166DVM6A"" if SOC_PART_NUMBER_MIMXRT1166DVM6A | ""MIMXRT1175AVM8A"" if SOC_PART_NUMBER_MIMXRT1175AVM8A | ""MIMXRT1175CVM8A"" if SOC_PART_NUMBER_MIMXRT1175CVM8A | ""MIMXRT1175DVMAA"" if SOC_PART_NUMBER_MIMXRT1175DVMAA | ""MIMXRT1173CVM8A"" if SOC_PART_NUMBER_MIMXRT1173CVM8A | ""MIMXRT1172AVM8A"" if SOC_PART_NUMBER_MIMXRT1172AVM8A | ""MIMXRT1172CVM8A"" if SOC_PART_NUMBER_MIMXRT1172CVM8A | ""MIMXRT1172DVMAA"" if SOC_PART_NUMBER_MIMXRT1172DVMAA | ""MIMXRT1171AVM8A"" if SOC_PART_NUMBER_MIMXRT1171AVM8A | ""MIMXRT1171CVM8A"" if SOC_PART_NUMBER_MIMXRT1171CVM8A | ""MIMXRT1171DVMAA"" if SOC_PART_NUMBER_MIMXRT1171DVMAA",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_IMX_RT5XX,soc/arm,string,soc/arm/nxp_imx/rt5xx/Kconfig.soc:56,"""MIMXRT533SFAWC"" if SOC_PART_NUMBER_MIMXRT533SFAWC | ""MIMXRT555SFAWC"" if SOC_PART_NUMBER_MIMXRT555SFAWC | ""MIMXRT595SFAWC"" if SOC_PART_NUMBER_MIMXRT595SFAWC | ""MIMXRT533SFFOC"" if SOC_PART_NUMBER_MIMXRT533SFFOC | ""MIMXRT555SFFOC"" if SOC_PART_NUMBER_MIMXRT555SFFOC | ""MIMXRT595SFFOC"" if SOC_PART_NUMBER_MIMXRT595SFFOC","""MIMXRT533SFAWC"" if SOC_PART_NUMBER_MIMXRT533SFAWC | ""MIMXRT555SFAWC"" if SOC_PART_NUMBER_MIMXRT555SFAWC | ""MIMXRT595SFAWC"" if SOC_PART_NUMBER_MIMXRT595SFAWC | ""MIMXRT533SFFOC"" if SOC_PART_NUMBER_MIMXRT533SFFOC | ""MIMXRT555SFFOC"" if SOC_PART_NUMBER_MIMXRT555SFFOC | ""MIMXRT595SFFOC"" if SOC_PART_NUMBER_MIMXRT595SFFOC",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_IMX_RT6XX,soc/arm,string,soc/arm/nxp_imx/rt6xx/Kconfig.soc:47,"""MIMXRT685SFVKB"" if SOC_PART_NUMBER_MIMXRT685SFVKB | ""MIMXRT685SFFOB"" if SOC_PART_NUMBER_MIMXRT685SFFOB | ""MIMXRT685SFAWBR"" if SOC_PART_NUMBER_MIMXRT685SFAWBR","""MIMXRT685SFVKB"" if SOC_PART_NUMBER_MIMXRT685SFVKB | ""MIMXRT685SFFOB"" if SOC_PART_NUMBER_MIMXRT685SFFOB | ""MIMXRT685SFAWBR"" if SOC_PART_NUMBER_MIMXRT685SFAWBR",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_KINETIS_K2X,soc/arm,string,soc/arm/nxp_kinetis/k2x/Kconfig.soc:60,"""MK22FN512VLH12"" if SOC_PART_NUMBER_MK22FN512VLH12 | ""MK22FX512VLQ12"" if SOC_PART_NUMBER_MK22FX512VLQ12","""MK22FN512VLH12"" if SOC_PART_NUMBER_MK22FN512VLH12 | ""MK22FX512VLQ12"" if SOC_PART_NUMBER_MK22FX512VLQ12",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_KINETIS_K6X,soc/arm,string,soc/arm/nxp_kinetis/k6x/Kconfig.soc:84,"""MK64FN1M0CAJ12"" if SOC_PART_NUMBER_MK64FN1M0CAJ12 | ""MK64FN1M0VDC12"" if SOC_PART_NUMBER_MK64FN1M0VDC12 | ""MK64FN1M0VLL12"" if SOC_PART_NUMBER_MK64FN1M0VLL12 | ""MK64FN1M0VLQ12"" if SOC_PART_NUMBER_MK64FN1M0VLQ12 | ""MK64FN1M0VMD12"" if SOC_PART_NUMBER_MK64FN1M0VMD12 | ""MK64FX512VDC12"" if SOC_PART_NUMBER_MK64FX512VDC12 | ""MK64FX512VLL12"" if SOC_PART_NUMBER_MK64FX512VLL12 | ""MK64FX512VLQ12"" if SOC_PART_NUMBER_MK64FX512VLQ12 | ""MK64FX512VMD12"" if SOC_PART_NUMBER_MK64FX512VMD12 | ""MK66FN2M0VMD18"" if SOC_PART_NUMBER_MK66FN2M0VMD18 | ""MK66FN2M0VLQ18"" if SOC_PART_NUMBER_MK66FN2M0VLQ18","""MK64FN1M0CAJ12"" if SOC_PART_NUMBER_MK64FN1M0CAJ12 | ""MK64FN1M0VDC12"" if SOC_PART_NUMBER_MK64FN1M0VDC12 | ""MK64FN1M0VLL12"" if SOC_PART_NUMBER_MK64FN1M0VLL12 | ""MK64FN1M0VLQ12"" if SOC_PART_NUMBER_MK64FN1M0VLQ12 | ""MK64FN1M0VMD12"" if SOC_PART_NUMBER_MK64FN1M0VMD12 | ""MK64FX512VDC12"" if SOC_PART_NUMBER_MK64FX512VDC12 | ""MK64FX512VLL12"" if SOC_PART_NUMBER_MK64FX512VLL12 | ""MK64FX512VLQ12"" if SOC_PART_NUMBER_MK64FX512VLQ12 | ""MK64FX512VMD12"" if SOC_PART_NUMBER_MK64FX512VMD12 | ""MK66FN2M0VMD18"" if SOC_PART_NUMBER_MK66FN2M0VMD18 | ""MK66FN2M0VLQ18"" if SOC_PART_NUMBER_MK66FN2M0VLQ18",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_KINETIS_K8X,soc/arm,string,soc/arm/nxp_kinetis/k8x/Kconfig.soc:32,"""MK80FN256VDC15"" if SOC_PART_NUMBER_MK80FN256VDC15 | ""MK80FN256VLL15"" if SOC_PART_NUMBER_MK80FN256VLL15 | ""MK82FN256VDC15"" if SOC_PART_NUMBER_MK82FN256VDC15 | ""MK82FN256VLL15"" if SOC_PART_NUMBER_MK82FN256VLL15","""MK80FN256VDC15"" if SOC_PART_NUMBER_MK80FN256VDC15 | ""MK80FN256VLL15"" if SOC_PART_NUMBER_MK80FN256VLL15 | ""MK82FN256VDC15"" if SOC_PART_NUMBER_MK82FN256VDC15 | ""MK82FN256VLL15"" if SOC_PART_NUMBER_MK82FN256VLL15",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_KINETIS_KE1XF,soc/arm,string,soc/arm/nxp_kinetis/ke1xf/Kconfig.soc:61,"""MKE14F256VLH16"" if SOC_PART_NUMBER_MKE14F256VLH16 | ""MKE14F256VLL16"" if SOC_PART_NUMBER_MKE14F256VLL16 | ""MKE14F512VLH16"" if SOC_PART_NUMBER_MKE14F512VLH16 | ""MKE14F512VLL16"" if SOC_PART_NUMBER_MKE14F512VLL16 | ""MKE16F256VLH16"" if SOC_PART_NUMBER_MKE16F256VLH16 | ""MKE16F256VLL16"" if SOC_PART_NUMBER_MKE16F256VLL16 | ""MKE16F512VLH16"" if SOC_PART_NUMBER_MKE16F512VLH16 | ""MKE16F512VLL16"" if SOC_PART_NUMBER_MKE16F512VLL16 | ""MKE18F256VLH16"" if SOC_PART_NUMBER_MKE18F256VLH16 | ""MKE18F256VLL16"" if SOC_PART_NUMBER_MKE18F256VLL16 | ""MKE18F512VLH16"" if SOC_PART_NUMBER_MKE18F512VLH16 | ""MKE18F512VLL16"" if SOC_PART_NUMBER_MKE18F512VLL16","""MKE14F256VLH16"" if SOC_PART_NUMBER_MKE14F256VLH16 | ""MKE14F256VLL16"" if SOC_PART_NUMBER_MKE14F256VLL16 | ""MKE14F512VLH16"" if SOC_PART_NUMBER_MKE14F512VLH16 | ""MKE14F512VLL16"" if SOC_PART_NUMBER_MKE14F512VLL16 | ""MKE16F256VLH16"" if SOC_PART_NUMBER_MKE16F256VLH16 | ""MKE16F256VLL16"" if SOC_PART_NUMBER_MKE16F256VLL16 | ""MKE16F512VLH16"" if SOC_PART_NUMBER_MKE16F512VLH16 | ""MKE16F512VLL16"" if SOC_PART_NUMBER_MKE16F512VLL16 | ""MKE18F256VLH16"" if SOC_PART_NUMBER_MKE18F256VLH16 | ""MKE18F256VLL16"" if SOC_PART_NUMBER_MKE18F256VLL16 | ""MKE18F512VLH16"" if SOC_PART_NUMBER_MKE18F512VLH16 | ""MKE18F512VLL16"" if SOC_PART_NUMBER_MKE18F512VLL16",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_KINETIS_KL2X,soc/arm,string,soc/arm/nxp_kinetis/kl2x/Kconfig.soc:62,"""MKL25Z32VFM4"" if SOC_PART_NUMBER_MKL25Z32VFM4 | ""MKL25Z64VFM4"" if SOC_PART_NUMBER_MKL25Z64VFM4 | ""MKL25Z128VFM4"" if SOC_PART_NUMBER_MKL25Z128VFM4 | ""MKL25Z32VFT4"" if SOC_PART_NUMBER_MKL25Z32VFT4 | ""MKL25Z64VFT4"" if SOC_PART_NUMBER_MKL25Z64VFT4 | ""MKL25Z128VFT4"" if SOC_PART_NUMBER_MKL25Z128VFT4 | ""MKL25Z32VLH4"" if SOC_PART_NUMBER_MKL25Z32VLH4 | ""MKL25Z64VLH4"" if SOC_PART_NUMBER_MKL25Z64VLH4 | ""MKL25Z128VLH4"" if SOC_PART_NUMBER_MKL25Z128VLH4 | ""MKL25Z32VLK4"" if SOC_PART_NUMBER_MKL25Z32VLK4 | ""MKL25Z64VLK4"" if SOC_PART_NUMBER_MKL25Z64VLK4 | ""MKL25Z128VLK4"" if SOC_PART_NUMBER_MKL25Z128VLK4","""MKL25Z32VFM4"" if SOC_PART_NUMBER_MKL25Z32VFM4 | ""MKL25Z64VFM4"" if SOC_PART_NUMBER_MKL25Z64VFM4 | ""MKL25Z128VFM4"" if SOC_PART_NUMBER_MKL25Z128VFM4 | ""MKL25Z32VFT4"" if SOC_PART_NUMBER_MKL25Z32VFT4 | ""MKL25Z64VFT4"" if SOC_PART_NUMBER_MKL25Z64VFT4 | ""MKL25Z128VFT4"" if SOC_PART_NUMBER_MKL25Z128VFT4 | ""MKL25Z32VLH4"" if SOC_PART_NUMBER_MKL25Z32VLH4 | ""MKL25Z64VLH4"" if SOC_PART_NUMBER_MKL25Z64VLH4 | ""MKL25Z128VLH4"" if SOC_PART_NUMBER_MKL25Z128VLH4 | ""MKL25Z32VLK4"" if SOC_PART_NUMBER_MKL25Z32VLK4 | ""MKL25Z64VLK4"" if SOC_PART_NUMBER_MKL25Z64VLK4 | ""MKL25Z128VLK4"" if SOC_PART_NUMBER_MKL25Z128VLK4",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_KINETIS_KV5X,soc/arm,string,soc/arm/nxp_kinetis/kv5x/Kconfig.soc:44,"""MKV56F512VLL24"" if SOC_PART_NUMBER_MKV56F512VLL24 | ""MKV56F512VLQ24"" if SOC_PART_NUMBER_MKV56F512VLQ24 | ""MKV56F1M0VLL24"" if SOC_PART_NUMBER_MKV56F1M0VLL24 | ""MKV56F1M0VLQ24"" if SOC_PART_NUMBER_MKV56F1M0VLQ24 | ""MKV58F512VLL24"" if SOC_PART_NUMBER_MKV58F512VLL24 | ""MKV58F512VLQ24"" if SOC_PART_NUMBER_MKV58F512VLQ24 | ""MKV58F1M0VLL24"" if SOC_PART_NUMBER_MKV58F1M0VLL24 | ""MKV58F1M0VLQ24"" if SOC_PART_NUMBER_MKV58F1M0VLQ24","""MKV56F512VLL24"" if SOC_PART_NUMBER_MKV56F512VLL24 | ""MKV56F512VLQ24"" if SOC_PART_NUMBER_MKV56F512VLQ24 | ""MKV56F1M0VLL24"" if SOC_PART_NUMBER_MKV56F1M0VLL24 | ""MKV56F1M0VLQ24"" if SOC_PART_NUMBER_MKV56F1M0VLQ24 | ""MKV58F512VLL24"" if SOC_PART_NUMBER_MKV58F512VLL24 | ""MKV58F512VLQ24"" if SOC_PART_NUMBER_MKV58F512VLQ24 | ""MKV58F1M0VLL24"" if SOC_PART_NUMBER_MKV58F1M0VLL24 | ""MKV58F1M0VLQ24"" if SOC_PART_NUMBER_MKV58F1M0VLQ24",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_KINETIS_KWX,soc/arm,string,soc/arm/nxp_kinetis/kwx/Kconfig.soc:84,"""MKW22D512VHA5"" if SOC_PART_NUMBER_MKW22D512VHA5 | ""MKW24D512VHA5"" if SOC_PART_NUMBER_MKW24D512VHA5 | ""MKW40Z160VHT4"" if SOC_PART_NUMBER_MKW40Z160VHT4 | ""MKW41Z256VHT4"" if SOC_PART_NUMBER_MKW41Z256VHT4 | ""MKW41Z512VHT4"" if SOC_PART_NUMBER_MKW41Z512VHT4","""MKW22D512VHA5"" if SOC_PART_NUMBER_MKW22D512VHA5 | ""MKW24D512VHA5"" if SOC_PART_NUMBER_MKW24D512VHA5 | ""MKW40Z160VHT4"" if SOC_PART_NUMBER_MKW40Z160VHT4 | ""MKW41Z256VHT4"" if SOC_PART_NUMBER_MKW41Z256VHT4 | ""MKW41Z512VHT4"" if SOC_PART_NUMBER_MKW41Z512VHT4",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_LPC11U66JBD48,soc/arm,bool,soc/arm/nxp_lpc/lpc11u6x/Kconfig.soc:23,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC11U67JBD100,soc/arm,bool,soc/arm/nxp_lpc/lpc11u6x/Kconfig.soc:29,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC11U67JBD48,soc/arm,bool,soc/arm/nxp_lpc/lpc11u6x/Kconfig.soc:25,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC11U67JBD64,soc/arm,bool,soc/arm/nxp_lpc/lpc11u6x/Kconfig.soc:27,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC11U68JBD100,soc/arm,bool,soc/arm/nxp_lpc/lpc11u6x/Kconfig.soc:35,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC11U68JBD48,soc/arm,bool,soc/arm/nxp_lpc/lpc11u6x/Kconfig.soc:31,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC11U68JBD64,soc/arm,bool,soc/arm/nxp_lpc/lpc11u6x/Kconfig.soc:33,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC11U6X,soc/arm,string,soc/arm/nxp_lpc/lpc11u6x/Kconfig.soc:38,"""LPC11U66JBD48"" if SOC_PART_NUMBER_LPC11U66JBD48 | ""LPC11U67JBD48"" if SOC_PART_NUMBER_LPC11U67JBD48 | ""LPC11U67JBD64"" if SOC_PART_NUMBER_LPC11U67JBD64 | ""LPC11U67JBD100"" if SOC_PART_NUMBER_LPC11U67JBD100 | ""LPC11U68JBD48"" if SOC_PART_NUMBER_LPC11U68JBD48 | ""LPC11U68JBD64"" if SOC_PART_NUMBER_LPC11U68JBD64 | ""LPC11U68JBD100"" if SOC_PART_NUMBER_LPC11U68JBD100","""LPC11U66JBD48"" if SOC_PART_NUMBER_LPC11U66JBD48 | ""LPC11U67JBD48"" if SOC_PART_NUMBER_LPC11U67JBD48 | ""LPC11U67JBD64"" if SOC_PART_NUMBER_LPC11U67JBD64 | ""LPC11U67JBD100"" if SOC_PART_NUMBER_LPC11U67JBD100 | ""LPC11U68JBD48"" if SOC_PART_NUMBER_LPC11U68JBD48 | ""LPC11U68JBD64"" if SOC_PART_NUMBER_LPC11U68JBD64 | ""LPC11U68JBD100"" if SOC_PART_NUMBER_LPC11U68JBD100",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_LPC51U68,soc/arm,string,soc/arm/nxp_lpc/lpc51u68/Kconfig.soc:18,"""LPC51U68JBD48"" if SOC_PART_NUMBER_LPC51U68JBD48 | ""LPC51U68JBD64"" if SOC_PART_NUMBER_LPC51U68JBD64","""LPC51U68JBD48"" if SOC_PART_NUMBER_LPC51U68JBD48 | ""LPC51U68JBD64"" if SOC_PART_NUMBER_LPC51U68JBD64",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_LPC51U68JBD48,soc/arm,bool,soc/arm/nxp_lpc/lpc51u68/Kconfig.soc:13,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC51U68JBD64,soc/arm,bool,soc/arm/nxp_lpc/lpc51u68/Kconfig.soc:15,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC54114J256BD64,soc/arm,bool,soc/arm/nxp_lpc/lpc54xxx/Kconfig.soc:30,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC54XXX,soc/arm,string,soc/arm/nxp_lpc/lpc54xxx/Kconfig.soc:33,"""LPC54114J256BD64"" if SOC_PART_NUMBER_LPC54114J256BD64","""LPC54114J256BD64"" if SOC_PART_NUMBER_LPC54114J256BD64",—(未定义/依赖不满足),,This string holds the full part number of the SoC. It is a hidden option that you should not set directly. The part number selection choice defines the default value for this string.,
CONFIG_SOC_PART_NUMBER_LPC55S06JBD64,soc/arm,bool,soc/arm/nxp_lpc/lpc55xxx/Kconfig.soc:85,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC55S16JBD100,soc/arm,bool,soc/arm/nxp_lpc/lpc55xxx/Kconfig.soc:91,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC55S16JBD64,soc/arm,bool,soc/arm/nxp_lpc/lpc55xxx/Kconfig.soc:88,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_SOC_PART_NUMBER_LPC55S28JBD100,soc/arm,bool,soc/arm/nxp_lpc/lpc55xxx/Kconfig.soc:94,n（隐式）,—,—(未定义/依赖不满足),,,
